id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
45,SI2,E,Round,0.3,0.39,21.0
46,SI3,E,Round,0.3,0.39,17.0
47,I1,E,Round,0.3,0.39,15.0
48,I2,E,Round,0.3,0.39,10.0
49,I3,E,Round,0.3,0.39,6.0
50,IF,F,Round,0.3,0.39,29.0
51,VVS1,F,Round,0.3,0.39,28.0
52,VVS2,F,Round,0.3,0.39,27.0
53,VS1,F,Round,0.3,0.39,26.0
54,VS2,F,Round,0.3,0.39,25.0
55,SI1,F,Round,0.3,0.39,23.0
56,SI2,F,Round,0.3,0.39,20.0
57,SI3,F,Round,0.3,0.39,16.0
58,I1,F,Round,0.3,0.39,14.0
59,I2,F,Round,0.3,0.39,9.0
60,I3,F,Round,0.3,0.39,6.0
61,IF,G,Round,0.3,0.39,28.0
62,VVS1,G,Round,0.3,0.39,27.0
63,VVS2,G,Round,0.3,0.39,26.0
64,VS1,G,Round,0.3,0.39,25.0
65,VS2,G,Round,0.3,0.39,24.0
66,SI1,G,Round,0.3,0.39,22.0
67,SI2,G,Round,0.3,0.39,19.0
68,SI3,G,Round,0.3,0.39,15.0
69,I1,G,Round,0.3,0.39,13.0
70,I2,G,Round,0.3,0.39,8.0
71,I3,G,Round,0.3,0.39,5.0
72,IF,H,Round,0.3,0.39,26.0
73,VVS1,H,Round,0.3,0.39,25.0
74,VVS2,H,Round,0.3,0.39,24.0
75,VS1,H,Round,0.3,0.39,23.0
76,VS2,H,Round,0.3,0.39,22.0
77,SI1,H,Round,0.3,0.39,20.0
78,SI2,H,Round,0.3,0.39,17.0
79,SI3,H,Round,0.3,0.39,13.0
80,I1,H,Round,0.3,0.39,11.0
81,I2,H,Round,0.3,0.39,8.0
82,I3,H,Round,0.3,0.39,5.0
83,IF,I,Round,0.3,0.39,23.0
84,VVS1,I,Round,0.3,0.39,22.0
85,VVS2,I,Round,0.3,0.39,21.0
86,VS1,I,Round,0.3,0.39,20.0
87,VS2,I,Round,0.3,0.39,19.0
88,SI1,I,Round,0.3,0.39,18.0
89,SI2,I,Round,0.3,0.39,16.0
90,SI3,I,Round,0.3,0.39,12.0
91,I1,I,Round,0.3,0.39,10.0
92,I2,I,Round,0.3,0.39,7.0
93,I3,I,Round,0.3,0.39,5.0
94,IF,J,Round,0.3,0.39,21.0
95,VVS1,J,Round,0.3,0.39,20.0
96,VVS2,J,Round,0.3,0.39,19.0
97,VS1,J,Round,0.3,0.39,18.0
98,VS2,J,Round,0.3,0.39,16.0
99,SI1,J,Round,0.3,0.39,15.0
100,SI2,J,Round,0.3,0.39,14.0
101,SI3,J,Round,0.3,0.39,11.0
102,I1,J,Round,0.3,0.39,9.0
103,I2,J,Round,0.3,0.39,7.0
104,I3,J,Round,0.3,0.39,4.0
105,IF,K,Round,0.3,0.39,19.0
106,VVS1,K,Round,0.3,0.39,18.0
107,VVS2,K,Round,0.3,0.39,16.0
108,VS1,K,Round,0.3,0.39,15.0
109,VS2,K,Round,0.3,0.39,14.0
110,SI1,K,Round,0.3,0.39,13.0
111,SI2,K,Round,0.3,0.39,12.0
112,SI3,K,Round,0.3,0.39,10.0
113,I1,K,Round,0.3,0.39,8.0
114,I2,K,Round,0.3,0.39,6.0
115,I3,K,Round,0.3,0.39,4.0
116,IF,L,Round,0.3,0.39,17.0
117,VVS1,L,Round,0.3,0.39,16.0
118,VVS2,L,Round,0.3,0.39,15.0
119,VS1,L,Round,0.3,0.39,14.0
120,VS2,L,Round,0.3,0.39,13.0
121,SI1,L,Round,0.3,0.39,12.0
122,SI2,L,Round,0.3,0.39,10.0
123,SI3,L,Round,0.3,0.39,9.0
124,I1,L,Round,0.3,0.39,6.0
125,I2,L,Round,0.3,0.39,5.0
126,I3,L,Round,0.3,0.39,3.0
127,IF,M,Round,0.3,0.39,16.0
128,VVS1,M,Round,0.3,0.39,15.0
129,VVS2,M,Round,0.3,0.39,14.0
130,VS1,M,Round,0.3,0.39,13.0
131,VS2,M,Round,0.3,0.39,12.0
132,SI1,M,Round,0.3,0.39,11.0
133,SI2,M,Round,0.3,0.39,9.0
134,SI3,M,Round,0.3,0.39,8.0
135,I1,M,Round,0.3,0.39,5.0
136,I2,M,Round,0.3,0.39,4.0
137,I3,M,Round,0.3,0.39,3.0
138,IF,D,Round,0.4,0.49,48.0
139,VVS1,D,Round,0.4,0.49,38.0
140,VVS2,D,Round,0.4,0.49,35.0
141,VS1,D,Round,0.4,0.49,33.0
142,VS2,D,Round,0.4,0.49,31.0
143,SI1,D,Round,0.4,0.49,28.0
144,SI2,D,Round,0.4,0.49,24.0
145,SI3,D,Round,0.4,0.49,21.0
146,I1,D,Round,0.4,0.49,18.0
147,I2,D,Round,0.4,0.49,12.0
148,I3,D,Round,0.4,0.49,8.0
149,IF,E,Round,0.4,0.49,38.0
150,VVS1,E,Round,0.4,0.49,34.0
151,VVS2,E,Round,0.4,0.49,32.0
152,VS1,E,Round,0.4,0.49,31.0
153,VS2,E,Round,0.4,0.49,30.0
154,SI1,E,Round,0.4,0.49,26.0
155,SI2,E,Round,0.4,0.49,23.0
156,SI3,E,Round,0.4,0.49,20.0
157,I1,E,Round,0.4,0.49,17.0
158,I2,E,Round,0.4,0.49,11.0
159,I3,E,Round,0.4,0.49,7.0
160,IF,F,Round,0.4,0.49,34.0
161,VVS1,F,Round,0.4,0.49,32.0
162,VVS2,F,Round,0.4,0.49,31.0
163,VS1,F,Round,0.4,0.49,30.0
164,VS2,F,Round,0.4,0.49,29.0
165,SI1,F,Round,0.4,0.49,25.0
166,SI2,F,Round,0.4,0.49,22.0
167,SI3,F,Round,0.4,0.49,19.0
168,I1,F,Round,0.4,0.49,16.0
169,I2,F,Round,0.4,0.49,11.0
170,I3,F,Round,0.4,0.49,7.0
171,IF,G,Round,0.4,0.49,32.0
172,VVS1,G,Round,0.4,0.49,31.0
173,VVS2,G,Round,0.4,0.49,30.0
174,VS1,G,Round,0.4,0.49,29.0
175,VS2,G,Round,0.4,0.49,28.0
176,SI1,G,Round,0.4,0.49,24.0
177,SI2,G,Round,0.4,0.49,21.0
178,SI3,G,Round,0.4,0.49,18.0
179,I1,G,Round,0.4,0.49,15.0
180,I2,G,Round,0.4,0.49,10.0
181,I3,G,Round,0.4,0.49,6.0
182,IF,H,Round,0.4,0.49,29.0
183,VVS1,H,Round,0.4,0.49,28.0
184,VVS2,H,Round,0.4,0.49,27.0
185,VS1,H,Round,0.4,0.49,26.0
186,VS2,H,Round,0.4,0.49,25.0
187,SI1,H,Round,0.4,0.49,23.0
188,SI2,H,Round,0.4,0.49,20.0
189,SI3,H,Round,0.4,0.49,16.0
190,I1,H,Round,0.4,0.49,14.0
191,I2,H,Round,0.4,0.49,9.0
192,I3,H,Round,0.4,0.49,6.0
193,IF,I,Round,0.4,0.49,25.0
194,VVS1,I,Round,0.4,0.49,24.0
195,VVS2,I,Round,0.4,0.49,23.0
196,VS1,I,Round,0.4,0.49,22.0
197,VS2,I,Round,0.4,0.49,21.0
198,SI1,I,Round,0.4,0.49,20.0
199,SI2,I,Round,0.4,0.49,18.0
200,SI3,I,Round,0.4,0.49,15.0
201,I1,I,Round,0.4,0.49,13.0
202,I2,I,Round,0.4,0.49,8.0
203,I3,I,Round,0.4,0.49,6.0
204,IF,J,Round,0.4,0.49,22.0
205,VVS1,J,Round,0.4,0.49,21.0
206,VVS2,J,Round,0.4,0.49,20.0
207,VS1,J,Round,0.4,0.49,19.0
208,VS2,J,Round,0.4,0.49,18.0
209,SI1,J,Round,0.4,0.49,17.0
210,SI2,J,Round,0.4,0.49,16.0
211,SI3,J,Round,0.4,0.49,14.0
212,I1,J,Round,0.4,0.49,12.0
213,I2,J,Round,0.4,0.49,8.0
214,I3,J,Round,0.4,0.49,5.0
215,IF,K,Round,0.4,0.49,20.0
216,VVS1,K,Round,0.4,0.49,19.0
217,VVS2,K,Round,0.4,0.49,18.0
218,VS1,K,Round,0.4,0.49,17.0
219,VS2,K,Round,0.4,0.49,16.0
220,SI1,K,Round,0.4,0.49,15.0
221,SI2,K,Round,0.4,0.49,14.0
222,SI3,K,Round,0.4,0.49,12.0
223,I1,K,Round,0.4,0.49,10.0
224,I2,K,Round,0.4,0.49,7.0
225,I3,K,Round,0.4,0.49,5.0
226,IF,L,Round,0.4,0.49,18.0
227,VVS1,L,Round,0.4,0.49,17.0
228,VVS2,L,Round,0.4,0.49,16.0
229,VS1,L,Round,0.4,0.49,15.0
230,VS2,L,Round,0.4,0.49,14.0
231,SI1,L,Round,0.4,0.49,13.0
232,SI2,L,Round,0.4,0.49,12.0
233,SI3,L,Round,0.4,0.49,10.0
234,I1,L,Round,0.4,0.49,8.0
235,I2,L,Round,0.4,0.49,6.0
236,I3,L,Round,0.4,0.49,4.0
237,IF,M,Round,0.4,0.49,17.0
238,VVS1,M,Round,0.4,0.49,16.0
239,VVS2,M,Round,0.4,0.49,15.0
240,VS1,M,Round,0.4,0.49,14.0
241,VS2,M,Round,0.4,0.49,13.0
242,SI1,M,Round,0.4,0.49,12.0
243,SI2,M,Round,0.4,0.49,11.0
244,SI3,M,Round,0.4,0.49,9.0
245,I1,M,Round,0.4,0.49,7.0
246,I2,M,Round,0.4,0.49,5.0
247,I3,M,Round,0.4,0.49,4.0
248,IF,D,Round,0.5,0.69,70.0
249,VVS1,D,Round,0.5,0.69,55.0
250,VVS2,D,Round,0.5,0.69,51.0
251,VS1,D,Round,0.5,0.69,46.0
252,VS2,D,Round,0.5,0.69,43.0
253,SI1,D,Round,0.5,0.69,37.0
254,SI2,D,Round,0.5,0.69,30.0
255,SI3,D,Round,0.5,0.69,26.0
256,I1,D,Round,0.5,0.69,22.0
257,I2,D,Round,0.5,0.69,16.0
258,I3,D,Round,0.5,0.69,11.0
259,IF,E,Round,0.5,0.69,55.0
260,VVS1,E,Round,0.5,0.69,50.0
261,VVS2,E,Round,0.5,0.69,46.0
262,VS1,E,Round,0.5,0.69,43.0
263,VS2,E,Round,0.5,0.69,40.0
264,SI1,E,Round,0.5,0.69,35.0
265,SI2,E,Round,0.5,0.69,28.0
266,SI3,E,Round,0.5,0.69,25.0
267,I1,E,Round,0.5,0.69,21.0
268,I2,E,Round,0.5,0.69,15.0
269,I3,E,Round,0.5,0.69,10.0
270,IF,F,Round,0.5,0.69,48.0
271,VVS1,F,Round,0.5,0.69,46.0
272,VVS2,F,Round,0.5,0.69,44.0
273,VS1,F,Round,0.5,0.69,41.0
274,VS2,F,Round,0.5,0.69,38.0
275,SI1,F,Round,0.5,0.69,33.0
276,SI2,F,Round,0.5,0.69,27.0
277,SI3,F,Round,0.5,0.69,24.0
278,I1,F,Round,0.5,0.69,20.0
279,I2,F,Round,0.5,0.69,14.0
280,I3,F,Round,0.5,0.69,10.0
281,IF,G,Round,0.5,0.69,43.0
282,VVS1,G,Round,0.5,0.69,41.0
283,VVS2,G,Round,0.5,0.69,39.0
284,VS1,G,Round,0.5,0.69,38.0
285,VS2,G,Round,0.5,0.69,36.0
286,SI1,G,Round,0.5,0.69,32.0
287,SI2,G,Round,0.5,0.69,26.0
288,SI3,G,Round,0.5,0.69,23.0
289,I1,G,Round,0.5,0.69,19.0
290,I2,G,Round,0.5,0.69,13.0
291,I3,G,Round,0.5,0.69,9.0
292,IF,H,Round,0.5,0.69,39.0
293,VVS1,H,Round,0.5,0.69,37.0
294,VVS2,H,Round,0.5,0.69,36.0
295,VS1,H,Round,0.5,0.69,35.0
296,VS2,H,Round,0.5,0.69,33.0
297,SI1,H,Round,0.5,0.69,31.0
298,SI2,H,Round,0.5,0.69,25.0
299,SI3,H,Round,0.5,0.69,22.0
300,I1,H,Round,0.5,0.69,18.0
301,I2,H,Round,0.5,0.69,12.0
302,I3,H,Round,0.5,0.69,8.0
303,IF,I,Round,0.5,0.69,34.0
304,VVS1,I,Round,0.5,0.69,32.0
305,VVS2,I,Round,0.5,0.69,31.0
306,VS1,I,Round,0.5,0.69,30.0
307,VS2,I,Round,0.5,0.69,29.0
308,SI1,I,Round,0.5,0.69,27.0
309,SI2,I,Round,0.5,0.69,23.0
310,SI3,I,Round,0.5,0.69,21.0
311,I1,I,Round,0.5,0.69,16.0
312,I2,I,Round,0.5,0.69,11.0
313,I3,I,Round,0.5,0.69,8.0
314,IF,J,Round,0.5,0.69,29.0
315,VVS1,J,Round,0.5,0.69,28.0
316,VVS2,J,Round,0.5,0.69,27.0
317,VS1,J,Round,0.5,0.69,26.0
318,VS2,J,Round,0.5,0.69,25.0
319,SI1,J,Round,0.5,0.69,24.0
320,SI2,J,Round,0.5,0.69,22.0
321,SI3,J,Round,0.5,0.69,20.0
322,I1,J,Round,0.5,0.69,15.0
323,I2,J,Round,0.5,0.69,11.0
324,I3,J,Round,0.5,0.69,7.0
325,IF,K,Round,0.5,0.69,24.0
326,VVS1,K,Round,0.5,0.69,23.0
327,VVS2,K,Round,0.5,0.69,22.0
328,VS1,K,Round,0.5,0.69,21.0
329,VS2,K,Round,0.5,0.69,21.0
330,SI1,K,Round,0.5,0.69,20.0
331,SI2,K,Round,0.5,0.69,19.0
332,SI3,K,Round,0.5,0.69,17.0
333,I1,K,Round,0.5,0.69,13.0
334,I2,K,Round,0.5,0.69,10.0
335,I3,K,Round,0.5,0.69,7.0
336,IF,L,Round,0.5,0.69,21.0
337,VVS1,L,Round,0.5,0.69,20.0
338,VVS2,L,Round,0.5,0.69,20.0
339,VS1,L,Round,0.5,0.69,19.0
340,VS2,L,Round,0.5,0.69,18.0
341,SI1,L,Round,0.5,0.69,17.0
342,SI2,L,Round,0.5,0.69,16.0
343,SI3,L,Round,0.5,0.69,13.0
344,I1,L,Round,0.5,0.69,11.0
345,I2,L,Round,0.5,0.69,9.0
346,I3,L,Round,0.5,0.69,6.0
347,IF,M,Round,0.5,0.69,19.0
348,VVS1,M,Round,0.5,0.69,18.0
349,VVS2,M,Round,0.5,0.69,18.0
350,VS1,M,Round,0.5,0.69,17.0
351,VS2,M,Round,0.5,0.69,16.0
352,SI1,M,Round,0.5,0.69,15.0
353,SI2,M,Round,0.5,0.69,14.0
354,SI3,M,Round,0.5,0.69,11.0
355,I1,M,Round,0.5,0.69,9.0
356,I2,M,Round,0.5,0.69,7.0
357,I3,M,Round,0.5,0.69,5.0
358,IF,D,Round,0.7,0.89,87.0
359,VVS1,D,Round,0.7,0.89,70.0
360,VVS2,D,Round,0.7,0.89,64.0
361,VS1,D,Round,0.7,0.89,60.0
362,VS2,D,Round,0.7,0.89,55.0
363,SI1,D,Round,0.7,0.89,47.0
364,SI2,D,Round,0.7,0.89,39.0
365,SI3,D,Round,0.7,0.89,34.0
366,I1,D,Round,0.7,0.89,30.0
367,I2,D,Round,0.7,0.89,20.0
368,I3,D,Round,0.7,0.89,13.0
369,IF,E,Round,0.7,0.89,70.0
370,VVS1,E,Round,0.7,0.89,65.0
371,VVS2,E,Round,0.7,0.89,61.0
372,VS1,E,Round,0.7,0.89,57.0
373,VS2,E,Round,0.7,0.89,52.0
374,SI1,E,Round,0.7,0.89,45.0
375,SI2,E,Round,0.7,0.89,37.0
376,SI3,E,Round,0.7,0.89,32.0
377,I1,E,Round,0.7,0.89,29.0
378,I2,E,Round,0.7,0.89,19.0
379,I3,E,Round,0.7,0.89,12.0
380,IF,F,Round,0.7,0.89,63.0
381,VVS1,F,Round,0.7,0.89,60.0
382,VVS2,F,Round,0.7,0.89,56.0
383,VS1,F,Round,0.7,0.89,53.0
384,VS2,F,Round,0.7,0.89,50.0
385,SI1,F,Round,0.7,0.89,43.0
386,SI2,F,Round,0.7,0.89,35.0
387,SI3,F,Round,0.7,0.89,30.0
388,I1,F,Round,0.7,0.89,27.0
389,I2,F,Round,0.7,0.89,18.0
390,I3,F,Round,0.7,0.89,12.0
391,IF,G,Round,0.7,0.89,58.0
392,VVS1,G,Round,0.7,0.89,53.0
393,VVS2,G,Round,0.7,0.89,51.0
394,VS1,G,Round,0.7,0.89,49.0
395,VS2,G,Round,0.7,0.89,46.0
396,SI1,G,Round,0.7,0.89,41.0
397,SI2,G,Round,0.7,0.89,33.0
398,SI3,G,Round,0.7,0.89,29.0
399,I1,G,Round,0.7,0.89,26.0
400,I2,G,Round,0.7,0.89,17.0
401,I3,G,Round,0.7,0.89,11.0
402,IF,H,Round,0.7,0.89,53.0
403,VVS1,H,Round,0.7,0.89,48.0
404,VVS2,H,Round,0.7,0.89,46.0
405,VS1,H,Round,0.7,0.89,44.0
406,VS2,H,Round,0.7,0.89,42.0
407,SI1,H,Round,0.7,0.89,38.0
408,SI2,H,Round,0.7,0.89,31.0
409,SI3,H,Round,0.7,0.89,27.0
410,I1,H,Round,0.7,0.89,24.0
411,I2,H,Round,0.7,0.89,16.0
412,I3,H,Round,0.7,0.89,10.0
413,IF,I,Round,0.7,0.89,45.0
414,VVS1,I,Round,0.7,0.89,41.0
415,VVS2,I,Round,0.7,0.89,39.0
416,VS1,I,Round,0.7,0.89,38.0
417,VS2,I,Round,0.7,0.89,37.0
418,SI1,I,Round,0.7,0.89,34.0
419,SI2,I,Round,0.7,0.89,29.0
420,SI3,I,Round,0.7,0.89,25.0
421,I1,I,Round,0.7,0.89,22.0
422,I2,I,Round,0.7,0.89,15.0
423,I3,I,Round,0.7,0.89,10.0
424,IF,J,Round,0.7,0.89,37.0
425,VVS1,J,Round,0.7,0.89,34.0
426,VVS2,J,Round,0.7,0.89,33.0
427,VS1,J,Round,0.7,0.89,32.0
428,VS2,J,Round,0.7,0.89,31.0
429,SI1,J,Round,0.7,0.89,29.0
430,SI2,J,Round,0.7,0.89,26.0
431,SI3,J,Round,0.7,0.89,23.0
432,I1,J,Round,0.7,0.89,20.0
433,I2,J,Round,0.7,0.89,14.0
434,I3,J,Round,0.7,0.89,9.0
435,IF,K,Round,0.7,0.89,33.0
436,VVS1,K,Round,0.7,0.89,30.0
437,VVS2,K,Round,0.7,0.89,28.0
438,VS1,K,Round,0.7,0.89,27.0
439,VS2,K,Round,0.7,0.89,26.0
440,SI1,K,Round,0.7,0.89,24.0
441,SI2,K,Round,0.7,0.89,22.0
442,SI3,K,Round,0.7,0.89,19.0
443,I1,K,Round,0.7,0.89,17.0
444,I2,K,Round,0.7,0.89,13.0
445,I3,K,Round,0.7,0.89,8.0
446,IF,L,Round,0.7,0.89,28.0
447,VVS1,L,Round,0.7,0.89,27.0
448,VVS2,L,Round,0.7,0.89,25.0
449,VS1,L,Round,0.7,0.89,24.0
450,VS2,L,Round,0.7,0.89,23.0
451,SI1,L,Round,0.7,0.89,22.0
452,SI2,L,Round,0.7,0.89,20.0
453,SI3,L,Round,0.7,0.89,16.0
454,I1,L,Round,0.7,0.89,14.0
455,I2,L,Round,0.7,0.89,11.0
456,I3,L,Round,0.7,0.89,7.0
457,IF,M,Round,0.7,0.89,25.0
458,VVS1,M,Round,0.7,0.89,24.0
459,VVS2,M,Round,0.7,0.89,23.0
460,VS1,M,Round,0.7,0.89,22.0
461,VS2,M,Round,0.7,0.89,21.0
462,SI1,M,Round,0.7,0.89,20.0
463,SI2,M,Round,0.7,0.89,18.0
464,SI3,M,Round,0.7,0.89,14.0
465,I1,M,Round,0.7,0.89,12.0
466,I2,M,Round,0.7,0.89,9.0
467,I3,M,Round,0.7,0.89,6.0
468,IF,D,Round,0.9,0.99,137.0
469,VVS1,D,Round,0.9,0.99,114.0
470,VVS2,D,Round,0.9,0.99,98.0
471,VS1,D,Round,0.9,0.99,85.0
472,VS2,D,Round,0.9,0.99,75.0
473,SI1,D,Round,0.9,0.99,65.0
474,SI2,D,Round,0.9,0.99,57.0
475,SI3,D,Round,0.9,0.99,47.0
476,I1,D,Round,0.9,0.99,38.0
477,I2,D,Round,0.9,0.99,22.0
478,I3,D,Round,0.9,0.99,15.0
479,IF,E,Round,0.9,0.99,114.0
480,VVS1,E,Round,0.9,0.99,100.0
481,VVS2,E,Round,0.9,0.99,90.0
482,VS1,E,Round,0.9,0.99,77.0
483,VS2,E,Round,0.9,0.99,71.0
484,SI1,E,Round,0.9,0.99,61.0
485,SI2,E,Round,0.9,0.99,54.0
486,SI3,E,Round,0.9,0.99,44.0
487,I1,E,Round,0.9,0.99,37.0
488,I2,E,Round,0.9,0.99,21.0
489,I3,E,Round,0.9,0.99,14.0
490,IF,F,Round,0.9,0.99,99.0
491,VVS1,F,Round,0.9,0.99,90.0
492,VVS2,F,Round,0.9,0.99,80.0
493,VS1,F,Round,0.9,0.99,72.0
494,VS2,F,Round,0.9,0.99,67.0
495,SI1,F,Round,0.9,0.99,58.0
496,SI2,F,Round,0.9,0.99,50.0
497,SI3,F,Round,0.9,0.99,42.0
498,I1,F,Round,0.9,0.99,36.0
499,I2,F,Round,0.9,0.99,20.0
500,I3,F,Round,0.9,0.99,14.0
501,IF,G,Round,0.9,0.99,88.0
502,VVS1,G,Round,0.9,0.99,80.0
503,VVS2,G,Round,0.9,0.99,72.0
504,VS1,G,Round,0.9,0.99,67.0
505,VS2,G,Round,0.9,0.99,62.0
506,SI1,G,Round,0.9,0.99,55.0
507,SI2,G,Round,0.9,0.99,47.0
508,SI3,G,Round,0.9,0.99,40.0
509,I1,G,Round,0.9,0.99,34.0
510,I2,G,Round,0.9,0.99,19.0
511,I3,G,Round,0.9,0.99,13.0
512,IF,H,Round,0.9,0.99,78.0
513,VVS1,H,Round,0.9,0.99,70.0
514,VVS2,H,Round,0.9,0.99,66.0
515,VS1,H,Round,0.9,0.99,62.0
516,VS2,H,Round,0.9,0.99,58.0
517,SI1,H,Round,0.9,0.99,52.0
518,SI2,H,Round,0.9,0.99,44.0
519,SI3,H,Round,0.9,0.99,37.0
520,I1,H,Round,0.9,0.99,32.0
521,I2,H,Round,0.9,0.99,18.0
522,I3,H,Round,0.9,0.99,13.0
523,IF,I,Round,0.9,0.99,66.0
524,VVS1,I,Round,0.9,0.99,60.0
525,VVS2,I,Round,0.9,0.99,57.0
526,VS1,I,Round,0.9,0.99,54.0
527,VS2,I,Round,0.9,0.99,51.0
528,SI1,I,Round,0.9,0.99,48.0
529,SI2,I,Round,0.9,0.99,42.0
530,SI3,I,Round,0.9,0.99,34.0
531,I1,I,Round,0.9,0.99,30.0
532,I2,I,Round,0.9,0.99,17.0
533,I3,I,Round,0.9,0.99,12.0
534,IF,J,Round,0.9,0.99,52.0
535,VVS1,J,Round,0.9,0.99,49.0
536,VVS2,J,Round,0.9,0.99,47.0
537,VS1,J,Round,0.9,0.99,45.0
538,VS2,J,Round,0.9,0.99,43.0
539,SI1,J,Round,0.9,0.99,41.0
540,SI2,J,Round,0.9,0.99,37.0
541,SI3,J,Round,0.9,0.99,30.0
542,I1,J,Round,0.9,0.99,26.0
543,I2,J,Round,0.9,0.99,16.0
544,I3,J,Round,0.9,0.99,11.0
545,IF,K,Round,0.9,0.99,43.0
546,VVS1,K,Round,0.9,0.99,41.0
547,VVS2,K,Round,0.9,0.99,39.0
548,VS1,K,Round,0.9,0.99,37.0
549,VS2,K,Round,0.9,0.99,35.0
550,SI1,K,Round,0.9,0.99,33.0
551,SI2,K,Round,0.9,0.99,31.0
552,SI3,K,Round,0.9,0.99,26.0
553,I1,K,Round,0.9,0.99,23.0
554,I2,K,Round,0.9,0.99,15.0
555,I3,K,Round,0.9,0.99,10.0
556,IF,L,Round,0.9,0.99,38.0
557,VVS1,L,Round,0.9,0.99,37.0
558,VVS2,L,Round,0.9,0.99,35.0
559,VS1,L,Round,0.9,0.99,34.0
560,VS2,L,Round,0.9,0.99,32.0
561,SI1,L,Round,0.9,0.99,30.0
562,SI2,L,Round,0.9,0.99,27.0
563,SI3,L,Round,0.9,0.99,23.0
564,I1,L,Round,0.9,0.99,20.0
565,I2,L,Round,0.9,0.99,14.0
566,I3,L,Round,0.9,0.99,9.0
567,IF,M,Round,0.9,0.99,35.0
568,VVS1,M,Round,0.9,0.99,33.0
569,VVS2,M,Round,0.9,0.99,32.0
570,VS1,M,Round,0.9,0.99,30.0
571,VS2,M,Round,0.9,0.99,29.0
572,SI1,M,Round,0.9,0.99,27.0
573,SI2,M,Round,0.9,0.99,24.0
574,SI3,M,Round,0.9,0.99,21.0
575,I1,M,Round,0.9,0.99,17.0
576,I2,M,Round,0.9,0.99,12.0
577,I3,M,Round,0.9,0.99,8.0
578,IF,D,Round,1.0,1.49,202.0
579,VVS1,D,Round,1.0,1.49,159.0
580,VVS2,D,Round,1.0,1.49,141.0
581,VS1,D,Round,1.0,1.49,122.0
582,VS2,D,Round,1.0,1.49,108.0
583,SI1,D,Round,1.0,1.49,86.0
584,SI2,D,Round,1.0,1.49,70.0
585,SI3,D,Round,1.0,1.49,58.0
586,I1,D,Round,1.0,1.49,47.0
587,I2,D,Round,1.0,1.49,27.0
588,I3,D,Round,1.0,1.49,17.0
589,IF,E,Round,1.0,1.49,152.0
590,VVS1,E,Round,1.0,1.49,140.0
591,VVS2,E,Round,1.0,1.49,117.0
592,VS1,E,Round,1.0,1.49,108.0
593,VS2,E,Round,1.0,1.49,96.0
594,SI1,E,Round,1.0,1.49,82.0
595,SI2,E,Round,1.0,1.49,67.0
596,SI3,E,Round,1.0,1.49,56.0
597,I1,E,Round,1.0,1.49,45.0
598,I2,E,Round,1.0,1.49,26.0
599,I3,E,Round,1.0,1.49,16.0
600,IF,F,Round,1.0,1.49,130.0
601,VVS1,F,Round,1.0,1.49,120.0
602,VVS2,F,Round,1.0,1.49,107.0
603,VS1,F,Round,1.0,1.49,102.0
604,VS2,F,Round,1.0,1.49,90.0
605,SI1,F,Round,1.0,1.49,79.0
606,SI2,F,Round,1.0,1.49,64.0
607,SI3,F,Round,1.0,1.49,54.0
608,I1,F,Round,1.0,1.49,44.0
609,I2,F,Round,1.0,1.49,25.0
